Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Czech Republic,CZE,Scientific and technical journal articles,IP.JRN.ARTC.SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5372.85,5773.84,6098.53,6418.06,7025.08,7871.5,8765.33,9939.57,10604.28,11093.78,12562.6,13396.16,13812.95,14044.66,15432.41,16700.33,16604.51,16782.25,15576.6,
Germany,DEU,Scientific and technical journal articles,IP.JRN.ARTC.SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69002.63,70648.69,71545.71,72368.78,75429.31,83968.28,85233.18,89413.66,91903.9,95453.2,97252.08,100768.62,105433.18,105730.82,108473.69,106452.92,108295.59,107803.17,104396.12,
Djibouti,DJI,Scientific and technical journal articles,IP.JRN.ARTC.SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.64,1.28,1.33,1.88,3.71,2.71,2.28,2.82,8.12,6.87,4.24,7.42,6.84,7.51,5.71,4.19,5.13,6.16,
Dominica,DMA,Scientific and technical journal articles,IP.JRN.ARTC.SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4.19,2,4.58,2.16,5.27,4.13,3.44,5.22,4.47,8.53,6.94,11.84,11.58,10.13,10.87,11.8,12.5,12.6,
Denmark,DNK,Scientific and technical journal articles,IP.JRN.ARTC.SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7160.46,7164.41,7217.39,7478.49,7867.99,8381.74,8590.46,9007.63,9245.54,9760.09,10285.53,11405.13,12390.58,12899.7,14145.01,14214.95,14160.25,14345.19,13978.8,
Dominican Republic,DOM,Scientific and technical journal articles,IP.JRN.ARTC.SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.3,7.94,7.46,12.53,13.74,12.88,17.1,20.32,17.08,15.46,17.12,19.34,25.93,39.5,42.4,34.62,34.55,54.06,49.26,
Algeria,DZA,Scientific and technical journal articles,IP.JRN.ARTC.SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,387.13,451.27,479.61,642.04,863.81,906.93,1269.9,1404.92,1747.56,2135.32,2140.5,2434.58,3062.32,3503.55,3630.37,4157.18,4527.57,5201.61,5231.44,
East Asia & Pacific (excluding high income),EAP,Scientific and technical journal articles,IP.JRN.ARTC.SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57172.4209043042,74463.5734205987,78846.4161686096,92269.8846589579,126614.269204414,173113.926111623,199455.63741525,226095.001311413,263095.889811515,303380.444911228,334242.781812721,352435.222617749,356118.7606109,388825.297652248,423160.157859997,444265.617359953,481428.01252488,527438.20224242,598879.286126005,
Early-demographic dividend,EAR,Scientific and technical journal articles,IP.JRN.ARTC.SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63284.0635090177,67820.6525431848,75017.8608106005,82872.308096706,91405.6323164617,102565.94091377,117347.315545148,130758.245324459,144521.533251853,162631.9,180488.98,204762.314380551,219217.310809582,233864.500774167,254574.434167353,267360.539218874,296324.650050775,322559.048343846,357984.941513648,
East Asia & Pacific,EAS,Scientific and technical journal articles,IP.JRN.ARTC.SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215630.343684691,237164.296551765,247120.382170009,269547.320253622,317702.675184262,385346.403238471,422583.416091747,457956.184832932,499592.841468156,547117.287795486,588170.298526421,617867.527936095,623536.451503505,661149.420668872,697349.924249949,713397.1763056,750819.503973605,796300.107273587,866663.165708603,
Europe & Central Asia (excluding high income),ECA,Scientific and technical journal articles,IP.JRN.ARTC.SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51356.9746147169,56859.3902029235,58474.464665408,59669.1006975159,62510.9730202943,65653.3783638748,62445.6443067917,66788.4542916372,69081.86,74096.31,77552.47,81965.95,84891.21,89849.62,96524.86,105997.16,120457.35,128873.6,141382.75,
Europe & Central Asia,ECS,Scientific and technical journal articles,IP.JRN.ARTC.SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,433937.642771948,445125.61997809,458438.393584508,472221.558849014,501042.880029797,547883.900980445,566788.45511508,597555.374122606,621524.378331266,649993.87419126,666711.473926813,695224.274032986,723399.3330295,740707.657100824,763116.199035595,769808.860779285,787035.638023434,796657.293343856,794017.985067441,
